Total supply:  1000
############## Round 0 ##############
Account: 0xCf4Bb9d2B42959ba3A468AB43fA45b17f86E6B64, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2085532307953785000, Bid count: 0
Account: 0xab2AFDe2E19ec6c64efa6ea7eD96394823841517, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2981129331323512300, Bid count: 0
Account: 0x8a809E7E03A3526a502492A35458c919F52a7290, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3853299908335120700, Bid count: 0
Account: 0xf17e48df64E7c79e06b426E8557B197b38834Be3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2190248826085673600, Bid count: 0
Account: 0xEeD32A68352e4e7b1699e705529EA29E611BCBe3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3394191114857380200, Bid count: 0
Account: 0x5E1842df0655890930e2A29498008312892Ae3b2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4181103364210884000, Bid count: 0
Account: 0x5bDb6E921109c81c9Ef26d716147a83094489e50, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4270298640124683000, Bid count: 0
Account: 0xBb5a788211eA61C567B6Be1005AC2f85Ed95907F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3225392830108892600, Bid count: 0
Account: 0xFbE23c51ed916C819df4e946707f7c669020cC77, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1415691684330094400, Bid count: 0
Account: 0xE8B3B9789C20CBf2c916A1a38f0bB0b63F90A751, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2031839451350883500, Bid count: 0
Account: 0xa74b80Bf7422CfD6F7a8DD94c80012556E9900E0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1438949757547856500, Bid count: 0
Account: 0x821CCA97f0bC1097407e74CC515Bd669D95D8f80, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2122463942520583000, Bid count: 0
Account: 0x51cFD745de1aD7fA5617214fE24297BA3e01c727, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2910136631564070400, Bid count: 0
Account: 0x83d558743A55F3DAfB84c93d69aEe3b23B95B966, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4447086178694820000, Bid count: 0
Account: 0x511035E016887fFdC7d555664f216a35Bdb1ef46, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3037268391089438200, Bid count: 0
Account: 0x99D0AA0b42715B67FeA6A569a51071BDF5E453D8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2273526258799823700, Bid count: 0
Account: 0x2Fe9dE5486b8c11d7E663F734aD3170AD06e0BCd, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3124336266139887000, Bid count: 0
Account: 0x1CAa7b38909bC79C88de45d751392550748105ED, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2028403251217893600, Bid count: 0
Account: 0x49C23c40163F500E67B7f7d5E9986C0DEb5Bf6a0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3460390454679609000, Bid count: 0
Account: 0x3d46696378A3055C9644742eB9212198d537785b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2640045854584563000, Bid count: 0
Account: 0x3BAB3743F7A6332355283AE4D9c358B2d8Cbc28c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4240500932552695000, Bid count: 0
